Vaccine,type,sourceName,sourceVersion,productType,device,startDate,endDate,unit,value,HKAlgorithmVersion
0,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Laima’s Apple Watch,5.1.2,"Watch4,3","<<HKDevice: 0x280cf5450>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.2>",2019-01-16 06:01:00 +0000,2019-01-16 06:02:06 +0000,ms,21.793060302734400,
0,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Laima’s Apple Watch,5.1.2,"Watch4,3","<<HKDevice: 0x280cf5450>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.2>",2019-01-16 08:16:09 +0000,2019-01-16 08:17:14 +0000,ms,32.97536849975590,
0,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Laima’s Apple Watch,5.1.2,"Watch4,3","<<HKDevice: 0x280cf5450>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.2>",2019-01-16 12:29:30 +0000,2019-01-16 12:30:41 +0000,ms,143.29515075683600,
0,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Laima’s Apple Watch,5.1.2,"Watch4,3","<<HKDevice: 0x280cf5450>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.2>",2019-01-16 21:36:16 +0000,2019-01-16 21:37:21 +0000,ms,11.0,
0,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Laima’s Apple Watch,5.1.2,"Watch4,3","<<HKDevice: 0x280cf5450>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.2>",2019-01-17 02:01:10 +0000,2019-01-17 02:02:11 +0000,ms,110.33981323242200,
0,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Laima’s Apple Watch,5.1.2,"Watch4,3","<<HKDevice: 0x280cf5450>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.2>",2019-01-17 04:01:08 +0000,2019-01-17 04:02:09 +0000,ms,47.20037078857420,
0,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Laima’s Apple Watch,5.1.2,"Watch4,3","<<HKDevice: 0x280cf5450>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.2>",2019-01-17 06:01:02 +0000,2019-01-17 06:02:07 +0000,ms,21.497093200683600,
0,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Laima’s Apple Watch,5.1.2,"Watch4,3","<<HKDevice: 0x280cf5450>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.2>",2019-01-17 08:01:06 +0000,2019-01-17 08:02:09 +0000,ms,32.742366790771500,
0,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Laima’s Apple Watch,5.1.2,"Watch4,3","<<HKDevice: 0x280cf5450>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.2>",2019-01-17 10:01:02 +0000,2019-01-17 10:02:07 +0000,ms,158.2476348876950,
0,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Laima’s Apple Watch,5.1.2,"Watch4,3","<<HKDevice: 0x280cf5450>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.2>",2019-01-17 12:17:10 +0000,2019-01-17 12:18:15 +0000,ms,29.888334274292000,
